,Directory,Has Examples
0,03 Writing Algorithms\01 Key Concepts,False
1,03 Writing Algorithms\01 Key Concepts\03 Algorithm Engine,False
2,03 Writing Algorithms\01 Key Concepts\04 Multi-Asset Modeling,False
3,03 Writing Algorithms\01 Key Concepts\05 Time Modeling\01 Periods,False
4,03 Writing Algorithms\01 Key Concepts\05 Time Modeling\02 Timeslices,False
5,03 Writing Algorithms\01 Key Concepts\05 Time Modeling\03 Time Zones,False
6,03 Writing Algorithms\01 Key Concepts\06 Security Identifiers,False
7,03 Writing Algorithms\01 Key Concepts\07 Event Handlers,False
8,03 Writing Algorithms\01 Key Concepts\08 Python and LEAN,False
9,03 Writing Algorithms\01 Key Concepts\09 Duck Typing,False
10,03 Writing Algorithms\01 Key Concepts\10 Research Guide,False
11,03 Writing Algorithms\01 Key Concepts\11 Globals and Statics,False
12,03 Writing Algorithms\01 Key Concepts\12 Libraries,False
13,03 Writing Algorithms\01 Key Concepts\13 Debugging Tools,False
14,03 Writing Algorithms\01 Key Concepts\99 Glossary,False
15,03 Writing Algorithms\02 Initialization,True
16,03 Writing Algorithms\03 Securities\01 Key Concepts,False
17,03 Writing Algorithms\03 Securities\02 Requesting Data,True
18,03 Writing Algorithms\03 Securities\03 Handling Data,True
19,03 Writing Algorithms\03 Securities\04 Market Hours,True
20,03 Writing Algorithms\03 Securities\05 Filtering Data,True
21,03 Writing Algorithms\03 Securities\99 Asset Classes\01 US Equity\01 Requesting Data,True
22,03 Writing Algorithms\03 Securities\99 Asset Classes\01 US Equity\02 Handling Data,True
23,03 Writing Algorithms\03 Securities\99 Asset Classes\01 US Equity\05 Corporate Actions,True
24,03 Writing Algorithms\03 Securities\99 Asset Classes\01 US Equity\06 Corporate Fundamentals,True
25,03 Writing Algorithms\03 Securities\99 Asset Classes\01 US Equity\07 Shorting,True
26,03 Writing Algorithms\03 Securities\99 Asset Classes\01 US Equity\08 Data Preparation,True
27,03 Writing Algorithms\03 Securities\99 Asset Classes\02 Equity Options\01 Requesting Data\01 Universes,True
28,03 Writing Algorithms\03 Securities\99 Asset Classes\02 Equity Options\01 Requesting Data\02 Individual Contracts,True
29,03 Writing Algorithms\03 Securities\99 Asset Classes\02 Equity Options\02 Handling Data,True
30,03 Writing Algorithms\03 Securities\99 Asset Classes\02 Equity Options\03 Greeks and Implied Volatility\01 Key Concepts,False
31,03 Writing Algorithms\03 Securities\99 Asset Classes\02 Equity Options\03 Greeks and Implied Volatility\02 Indicators,False
32,03 Writing Algorithms\03 Securities\99 Asset Classes\03 Crypto\01 Requesting Data,True
33,03 Writing Algorithms\03 Securities\99 Asset Classes\03 Crypto\02 Handling Data,True
34,03 Writing Algorithms\03 Securities\99 Asset Classes\03 Crypto\03 Holdings,False
35,03 Writing Algorithms\03 Securities\99 Asset Classes\04 Crypto Futures\01 Requesting Data,True
36,03 Writing Algorithms\03 Securities\99 Asset Classes\04 Crypto Futures\02 Handling Data,True
37,03 Writing Algorithms\03 Securities\99 Asset Classes\05 Forex\01 Requesting Data,True
38,03 Writing Algorithms\03 Securities\99 Asset Classes\05 Forex\02 Handling Data,True
39,03 Writing Algorithms\03 Securities\99 Asset Classes\06 Futures\01 Requesting Data\01 Universes,True
40,03 Writing Algorithms\03 Securities\99 Asset Classes\06 Futures\01 Requesting Data\02 Individual Contracts,True
41,03 Writing Algorithms\03 Securities\99 Asset Classes\06 Futures\02 Handling Data,True
42,03 Writing Algorithms\03 Securities\99 Asset Classes\07 Future Options\01 Requesting Data\01 Universes,True
43,03 Writing Algorithms\03 Securities\99 Asset Classes\07 Future Options\01 Requesting Data\02 Individual Contracts,False
44,03 Writing Algorithms\03 Securities\99 Asset Classes\07 Future Options\02 Handling Data,True
45,03 Writing Algorithms\03 Securities\99 Asset Classes\07 Future Options\03 Greeks and Implied Volatility\01 Key Concepts,False
46,03 Writing Algorithms\03 Securities\99 Asset Classes\07 Future Options\03 Greeks and Implied Volatility\02 Indicators,False
47,03 Writing Algorithms\03 Securities\99 Asset Classes\08 Index\01 Requesting Data,True
48,03 Writing Algorithms\03 Securities\99 Asset Classes\08 Index\02 Handling Data,True
49,03 Writing Algorithms\03 Securities\99 Asset Classes\09 Index Options\01 Requesting Data\01 Universes,False
50,03 Writing Algorithms\03 Securities\99 Asset Classes\09 Index Options\01 Requesting Data\02 Individual Contracts,False
51,03 Writing Algorithms\03 Securities\99 Asset Classes\09 Index Options\02 Handling Data,False
52,03 Writing Algorithms\03 Securities\99 Asset Classes\09 Index Options\03 Greeks and Implied Volatility\01 Key Concepts,False
53,03 Writing Algorithms\03 Securities\99 Asset Classes\09 Index Options\03 Greeks and Implied Volatility\02 Indicators,False
54,03 Writing Algorithms\03 Securities\99 Asset Classes\10 CFD\01 Requesting Data,True
55,03 Writing Algorithms\03 Securities\99 Asset Classes\10 CFD\02 Handling Data,False
56,03 Writing Algorithms\08 Portfolio\01 Key Concepts,False
57,03 Writing Algorithms\08 Portfolio\03 Holdings,False
58,03 Writing Algorithms\08 Portfolio\04 Cashbook,False
59,03 Writing Algorithms\12 Universes\01 Key Concepts,False
60,03 Writing Algorithms\12 Universes\02 Settings,False
61,03 Writing Algorithms\12 Universes\03 Equity\01 Liquidity Universes,True
62,03 Writing Algorithms\12 Universes\03 Equity\02 Fundamental Universes,True
63,03 Writing Algorithms\12 Universes\03 Equity\03 ETF Constituents Universes,True
64,03 Writing Algorithms\12 Universes\03 Equity\04 Chained Universes,False
65,03 Writing Algorithms\12 Universes\03 Equity\05 Legacy Fundamental Universes,True
66,03 Writing Algorithms\12 Universes\03 Equity\06 Alternative Data Universes,True
67,03 Writing Algorithms\12 Universes\04 Equity Options,True
68,03 Writing Algorithms\12 Universes\05 Equity CFD,True
69,03 Writing Algorithms\12 Universes\06 Futures,True
70,03 Writing Algorithms\12 Universes\07 Future Options,True
71,03 Writing Algorithms\12 Universes\08 Index Options,True
72,03 Writing Algorithms\12 Universes\09 Crypto,True
73,03 Writing Algorithms\12 Universes\10 Custom Universes,True
74,03 Writing Algorithms\12 Universes\11 Dataless Scheduled Universes,True
75,03 Writing Algorithms\16 Importing Data\01 Key Concepts,False
76,03 Writing Algorithms\16 Importing Data\02 Streaming Data\01 Key Concepts,False
77,03 Writing Algorithms\16 Importing Data\02 Streaming Data\02 Custom Securities\01 Key Concepts,False
